project_title,domain,tech_stack,batch_year,status,team_size,mentor
Interactive Stock Analysis Application,AI/ML,"Raspberry Pi, OpenCV, Python",2022,Completed,4,Dr. Joshi
Interactive Recommendation Engine Dashboard,AI/ML,"Python, Scapy, Burp Suite",2022,Abandoned,5,Dr. Kapil Kadam
Distributed Multi-cloud Manager Platform,Cloud,"Solidity, Ethereum, React",2022,Abandoned,4,Prof. Verma
Distributed Interactive Museum Framework,AR/VR,"ESP32, MicroPython, MQTT",2022,Completed,5,Prof. Sunny Mohite
Distributed Recipe App Dashboard,Mobile,"Vue.js, Django, MySQL",2024,Completed,3,Dr. Khan
Real-time Language Translation Toolkit,AI/ML,"React Native, Node.js, MongoDB",2021,Ongoing,1,Dr. Khan
Smart Identity Verification Platform,Blockchain,"Vue.js, Django, MySQL",2025,Ongoing,1,Dr. Khan
Optimized Network Firewall Mechanism,Cybersecurity,"Python, BERT, HuggingFace",2023,Ongoing,3,Prof. Jitkar
Smart Energy Metering Mechanism,IoT,"Vue.js, Django, MySQL",2022,Ongoing,4,Prof. Jitkar
Interactive Network Firewall Service,Cybersecurity,"AWS, Python, Docker",2024,Ongoing,3,Prof. Verma
Intelligent Recipe App Application,Mobile,"Next.js, Tailwind, Firebase",2022,Abandoned,1,Dr. Pardesi
Intelligent Data Storage Application,Cloud,"Arduino, Python, MQTT",2021,Completed,5,Dr.K.T.Mane
Secure Resource Scheduler Mechanism,Cloud,"Next.js, Tailwind, Firebase",2025,Completed,5,Dr. Kapil Kadam
Smart Expense Manager Framework,Mobile,"Python, Scikit-learn, Flask",2022,Abandoned,4,Dr. Khan
Optimized Recipe App Platform,Mobile,"Python, TensorFlow, Pandas",2025,Completed,4,Dr. Khan
Secure Fraud Detection Platform,AI/ML,"Python, TensorFlow, Pandas",2023,Ongoing,3,Prof. Jitkar
Integrated Expense Manager Toolkit,Mobile,"ESP32, MicroPython, MQTT",2023,Ongoing,1,Dr.K.T.Mane
Scalable Booking System System,Web Dev,"Python, BERT, HuggingFace",2024,Completed,2,Dr. Pardesi
Integrated Identity Verification System,Blockchain,"Arduino, Python, MQTT",2024,Completed,1,Prof. Jitkar
Smart Resource Scheduler Mechanism,Cloud,"Python, TensorFlow, Pandas",2025,Abandoned,1,Dr.K.T.Mane
Real-time Expense Manager System,Mobile,"React, Express, MySQL",2021,Abandoned,2,Prof. Radhika Dhanal
Distributed Resource Scheduler Application,Cloud,"Python, Wireshark, Metasploit",2021,Completed,2,Prof. Jitkar
Real-time Token Ecosystem System,Blockchain,"Solidity, Hardhat, Web3.js",2023,Completed,2,Prof. Radhika Dhanal
Smart Data Storage Dashboard,Cloud,"GCP, Python, Pub/Sub",2021,Completed,1,Dr.K.T.Mane
Secure Serverless API Mechanism,Cloud,"Unity, Vuforia, C#",2024,Completed,5,Prof. Sunny Mohite
Scalable Social Media Dashboard Mechanism,Web Dev,"Unity, C#, ARCore",2021,Ongoing,5,Prof. Jitkar
Interactive Intrusion Detection Application,Cybersecurity,"React Native, Node.js, MongoDB",2021,Ongoing,1,Prof. Sunny Mohite
Intelligent Expense Manager Toolkit,Mobile,"Next.js, Tailwind, Firebase",2024,Completed,4,Dr.K.T.Mane
Real-time Phishing Shield Mechanism,Cybersecurity,"Arduino, C++, Bluetooth",2022,Abandoned,2,Prof. Verma
Secure Network Firewall Dashboard,Cybersecurity,"Swift, iOS, CoreData",2024,Abandoned,5,Prof. Sunny Mohite
Distributed Encryption Tool Service,Cybersecurity,"Angular, Spring Boot, MySQL",2023,Ongoing,3,Dr.K.T.Mane
Secure Facial Recognition Application,AI/ML,"Solidity, Ethereum, React",2025,Abandoned,1,Dr. Pardesi
Scalable Phishing Shield Mechanism,Cybersecurity,"React, Express, MySQL",2025,Ongoing,2,Prof. Jitkar
Distributed Games Mechanism,AR/VR,"Vue.js, Django, MySQL",2024,Ongoing,1,Prof. Jitkar
Interactive Virtual Tour System,AR/VR,"GCP, Python, Pub/Sub",2022,Abandoned,2,Prof. Sunny Mohite
Secure Agriculture Monitor Framework,IoT,"Unity, C#, ARCore",2021,Abandoned,1,Dr. Khan
Optimized Expense Manager Mechanism,Mobile,"Python, TensorFlow, Pandas",2022,Ongoing,4,Prof. Verma
Integrated Phishing Shield System,Cybersecurity,"Solidity, Ethereum, React",2024,Completed,5,Prof. Sunny Mohite
Integrated Interactive Museum Framework,AR/VR,"ESP32, MicroPython, MQTT",2021,Abandoned,2,Prof. Verma
Smart Training Simulation Toolkit,AR/VR,"Python, Nmap, Kali Linux",2022,Ongoing,4,Prof. Jitkar
Interactive Energy Metering Service,IoT,"Raspberry Pi, OpenCV, Python",2023,Abandoned,4,Prof. Sunny Mohite
Intelligent Encryption Tool Mechanism,Cybersecurity,"Arduino, Python, MQTT",2022,Completed,5,Prof. Verma
Optimized Voting System Mechanism,Blockchain,"Solidity, Hardhat, Web3.js",2021,Ongoing,2,Dr. Nair
Scalable Network Firewall Dashboard,Cybersecurity,"Python, Keras, Matplotlib",2023,Ongoing,2,Dr. Nair
Smart Password Vault Application,Cybersecurity,"Python, Scapy, Burp Suite",2022,Completed,4,Dr. Khan
Optimized Supply Chain Tracking Platform,Blockchain,"Python, OpenCV, YOLO",2021,Abandoned,4,Dr.K.T.Mane
Secure Inventory Management Application,Web Dev,"React, Node.js, MongoDB",2025,Ongoing,2,Dr. Nair
Scalable Voting System Toolkit,Blockchain,"Raspberry Pi, Python, Firebase",2022,Ongoing,3,Prof. Sunny Mohite
Intelligent Education App Service,Mobile,"Unity, C#, ARCore",2025,Ongoing,3,Dr. Khan
Intelligent Traffic Prediction Platform,AI/ML,"React, Node.js, MongoDB",2024,Completed,4,Dr.K.T.Mane
Interactive Inventory Management Application,Web Dev,"Unity, Vuforia, C#",2024,Ongoing,4,Dr. Khan
Real-time Recipe App Application,Mobile,"Raspberry Pi, OpenCV, Python",2024,Ongoing,1,Dr. Nair
Automated Virtual Tour Framework,AR/VR,"Python, PyTorch, NumPy",2024,Abandoned,5,Dr. Nair
Intelligent Intrusion Detection Mechanism,Cybersecurity,"Arduino, Python, MQTT",2023,Ongoing,2,Dr. Joshi
Secure Training Simulation Dashboard,AR/VR,"Vue.js, Django, MySQL",2022,Ongoing,5,Dr. Joshi
Distributed Marketplace Framework,Web Dev,"Unity, Vuforia, C#",2022,Abandoned,2,Dr.K.T.Mane
Secure Identity Verification Application,Blockchain,"Solidity, Ethereum, React",2022,Abandoned,2,Prof. Radhika Dhanal
Secure Agriculture Monitor Service,IoT,"Arduino, Python, MQTT",2024,Ongoing,4,Dr. Khan
Interactive Token Ecosystem System,Blockchain,"Python, PyTorch, NumPy",2025,Ongoing,5,Dr. Kapil Kadam
Intelligent Data Storage Dashboard,Cloud,"React, Express, MySQL",2023,Abandoned,4,Prof. Verma
Smart Home Automation System,IoT,"Python, Keras, Matplotlib",2022,Ongoing,5,Dr. Pardesi
Automated Multi-cloud Manager Dashboard,Cloud,"Python, Web3.py, Ethereum",2023,Ongoing,2,Dr. Kapil Kadam
Scalable Games Platform,AR/VR,"AWS, Python, Docker",2021,Completed,2,Dr. Joshi
Intelligent Job Portal System,Web Dev,"Unreal Engine, C++, VR",2025,Ongoing,2,Prof. Sunny Mohite
Automated Facial Recognition Dashboard,AI/ML,"Vue.js, Django, MySQL",2024,Abandoned,2,Dr. Joshi
Smart Anatomy Visualization Dashboard,AR/VR,"Python, TensorFlow, Pandas",2022,Abandoned,5,Prof. Radhika Dhanal
Distributed Fitness Tracker System,Mobile,"Python, TensorFlow, Pandas",2022,Ongoing,4,Prof. Jitkar
Automated Travel Guide System,Mobile,"Android, Java, SQLite",2022,Completed,3,Dr. Joshi
Integrated Phishing Shield Platform,Cybersecurity,"ESP32, MicroPython, MQTT",2025,Ongoing,5,Dr.K.T.Mane
Integrated Expense Manager Platform,Mobile,"Python, Snort, Wireshark",2021,Abandoned,4,Prof. Radhika Dhanal
Scalable Job Portal Dashboard,Web Dev,"Python, TensorFlow, Pandas",2021,Ongoing,4,Dr.K.T.Mane
Optimized Token Ecosystem Application,Blockchain,"ESP32, MicroPython, MQTT",2024,Abandoned,1,Dr. Nair
Secure Games Platform,AR/VR,"Python, Nmap, Kali Linux",2021,Abandoned,2,Prof. Radhika Dhanal
Scalable Encryption Tool Application,Cybersecurity,"Flutter, Dart, Firebase",2025,Abandoned,5,Dr. Kapil Kadam
Intelligent Intrusion Detection Platform,Cybersecurity,"Unity, Vuforia, C#",2025,Abandoned,5,Prof. Radhika Dhanal
Optimized Games Application,AR/VR,"Unreal Engine, C++, VR",2023,Completed,5,Dr.K.T.Mane
Scalable Job Portal Framework,Web Dev,"Raspberry Pi, OpenCV, Python",2021,Abandoned,1,Dr. Kapil Kadam
Real-time Recipe App Platform,Mobile,"Angular, Spring Boot, MySQL",2021,Abandoned,3,Prof. Jitkar
Scalable Portfolio Platform Framework,Web Dev,"Python, Scikit-learn, Flask",2025,Abandoned,5,Dr. Khan
Intelligent Marketplace Dashboard,Web Dev,"Python, Nmap, Kali Linux",2023,Ongoing,3,Dr. Nair
Interactive Serverless API Toolkit,Cloud,"Solidity, Ethereum, React",2023,Ongoing,5,Prof. Sunny Mohite
Secure Multi-cloud Manager Toolkit,Cloud,"Unreal Engine, C++, VR",2023,Completed,2,Dr. Nair
Integrated Network Firewall Toolkit,Cybersecurity,"Python, Scikit-learn, Flask",2021,Completed,5,Prof. Sunny Mohite
Secure Recipe App Service,Mobile,"Next.js, Tailwind, Firebase",2024,Ongoing,1,Prof. Verma
Secure Anatomy Visualization Platform,AR/VR,"Raspberry Pi, Python, Firebase",2021,Abandoned,4,Prof. Jitkar
Distributed Virtual Tour System,AR/VR,"Python, Wireshark, Metasploit",2023,Ongoing,2,Dr.K.T.Mane
Interactive Training Simulation Toolkit,AR/VR,"ESP32, MicroPython, MQTT",2021,Completed,1,Dr. Joshi
Optimized Auto-scaling System Service,Cloud,"ESP32, MicroPython, MQTT",2024,Abandoned,4,Dr. Pardesi
Smart Voting System Toolkit,Blockchain,"Unreal Engine, C++, VR",2025,Completed,1,Dr. Nair
Automated Anatomy Visualization Framework,AR/VR,"Python, Scikit-learn, Flask",2022,Completed,4,Prof. Jitkar
Real-time Fitness Tracker Mechanism,Mobile,"Python, TensorFlow, Pandas",2024,Abandoned,4,Dr. Khan
Integrated Stock Analysis Platform,AI/ML,"Unity, Vuforia, C#",2024,Completed,1,Prof. Jitkar
Secure Network Firewall Platform,Cybersecurity,"React, Node.js, MongoDB",2025,Abandoned,3,Dr. Khan
Scalable Password Vault System,Cybersecurity,"Vue.js, Django, MySQL",2025,Ongoing,4,Dr. Kapil Kadam
Distributed Inventory Management System,Web Dev,"Flutter, Dart, Firebase",2025,Ongoing,5,Dr. Joshi
Optimized Education App Service,Mobile,"Python, Web3.py, Ethereum",2021,Ongoing,2,Prof. Verma
Smart Smart Parking System,IoT,"Unreal Engine, C++, VR",2022,Ongoing,5,Dr. Khan
Interactive Anatomy Visualization System,AR/VR,"Raspberry Pi, OpenCV, Python",2022,Ongoing,4,Dr. Nair
Interactive Intrusion Detection Toolkit,Cybersecurity,"ESP32, MicroPython, MQTT",2022,Completed,5,Dr.K.T.Mane
Integrated Intrusion Detection System,Cybersecurity,"Android, Java, SQLite",2024,Abandoned,5,Dr. Pardesi
Intelligent Games Service,AR/VR,"Python, Snort, Wireshark",2021,Ongoing,5,Dr. Nair
Integrated Identity Verification Application,Blockchain,"Next.js, Tailwind, Firebase",2021,Ongoing,5,Dr. Pardesi
Distributed Token Ecosystem Application,Blockchain,"Python, BERT, HuggingFace",2022,Abandoned,1,Dr. Nair
Interactive Education App Framework,Mobile,"Python, Wireshark, Metasploit",2025,Ongoing,4,Dr. Kapil Kadam
Real-time Job Portal Framework,Web Dev,"Flutter, Dart, Firebase",2023,Abandoned,2,Prof. Sunny Mohite
Smart Resource Scheduler Dashboard,Cloud,"Android, Java, SQLite",2024,Ongoing,2,Prof. Jitkar
Integrated Agriculture Monitor Platform,IoT,"Solidity, Hardhat, Web3.js",2024,Ongoing,2,Dr. Kapil Kadam
Real-time Agriculture Monitor Application,IoT,"Python, Snort, Wireshark",2023,Completed,2,Prof. Jitkar
Integrated Token Ecosystem Service,Blockchain,"ESP32, MicroPython, MQTT",2021,Abandoned,5,Dr. Pardesi
Secure Property Registry Framework,Blockchain,"Arduino, Python, MQTT",2023,Completed,3,Dr. Pardesi
Intelligent Patient Monitoring Toolkit,IoT,"Python, Web3.py, Ethereum",2025,Ongoing,4,Prof. Jitkar
