project_title,domain,tech_stack,batch_year,status,team_size,mentor
Sentiment Analysis of Reviews,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,2,Dr. Kapil Kadam
Sentiment Analysis of Reviews 2019,AI/ML,"Python, Keras, Matplotlib",2019,Completed,3,Dr. Nair
Brain Tumor Detection using MRI,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,2,Prof. Verma
Loan Default Prediction,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,3,Prof. Verma
Brain Tumor Detection using MRI 2019,AI/ML,"Python, PyTorch, NumPy",2019,Completed,2,Dr.K.T.Mane
AI Chatbot using NLP,AI/ML,"Python, Keras, Matplotlib",2019,Completed,2,Prof. Sunny Mohite
Face Recognition Attendance System,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,2,Dr. Khan
Loan Default Prediction 2019,AI/ML,"Python, Scikit-learn, Flask",2019,Completed,3,Prof. Verma
Sentiment Analysis of Reviews 2019,AI/ML,"Python, BERT, HuggingFace",2019,Completed,2,Dr. Nair
Hand Gesture Recognition,AI/ML,"Python, OpenCV, YOLO",2019,Completed,2,Prof. Sunny Mohite
Road Sign Recognition System,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,4,Prof. Jitkar
Resume Screening using AI,AI/ML,"Python, BERT, HuggingFace",2019,Completed,3,Dr. Khan
Hand Gesture Recognition 2019,AI/ML,"Python, PyTorch, NumPy",2019,Completed,3,Prof. Radhika Dhanal
Loan Default Prediction 2019,AI/ML,"Python, Keras, Matplotlib",2019,Completed,3,Dr. Kapil Kadam
Sign Language Translator,AI/ML,"Python, BERT, HuggingFace",2019,Completed,5,Prof. Verma
Stock Price Prediction Model,AI/ML,"Python, Keras, Matplotlib",2019,Completed,4,Dr.K.T.Mane
Stock Price Prediction Model 2019,AI/ML,"Python, TensorFlow, Pandas",2019,Completed,3,Prof. Radhika Dhanal
Medical Image Classification,AI/ML,"Python, OpenCV, YOLO",2019,Completed,2,Dr. Joshi
Hospital Appointment System,Web Dev,"Next.js, Tailwind, Firebase",2019,Completed,2,Prof. Verma
Online Food Ordering System,Web Dev,"Vue.js, Django, MySQL",2019,Completed,3,Dr. Nair
Hospital Appointment System 2019,Web Dev,"Vue.js, Django, MySQL",2019,Completed,5,Prof. Verma
Placement Management Portal,Web Dev,"React, Node.js, MongoDB",2019,Completed,4,Dr. Kapil Kadam
Alumni Connect Portal,Web Dev,"React, Express, MySQL",2019,Completed,3,Prof. Radhika Dhanal
Hospital Appointment System 2019,Web Dev,"Next.js, Tailwind, Firebase",2019,Completed,3,Dr. Pardesi
Online Food Ordering System 2019,Web Dev,"React, Node.js, MongoDB",2019,Completed,2,Prof. Verma
Online Voting System,Web Dev,"Vue.js, Django, MySQL",2019,Completed,2,Dr. Pardesi
Hospital Appointment System 2019,Web Dev,"React, Express, MySQL",2019,Completed,5,Dr. Pardesi
Online Food Ordering System 2019,Web Dev,"React, Express, MySQL",2019,Completed,2,Dr. Pardesi
College Fest Website,Web Dev,"Angular, Spring Boot, MySQL",2019,Completed,2,Dr. Kapil Kadam
